No.,Dataset,N_Variants,N_Max_Muts,Untrained_Performance_DCA,Untrained_Performance_ESM,Untrained_Performance_ProSST,Hybrid_DCA_Trained_Performance_100,Hybrid_DCA_ESM_Trained_Performance_100,Hybrid_DCA_ProSST_Trained_Performance_100,Hybrid_DCA_ESM_ProSST_Trained_Performance_100,Hybrid_DCA_Trained_Performance_200,Hybrid_DCA_ESM_Trained_Performance_200,Hybrid_DCA_ProSST_Trained_Performance_200,Hybrid_DCA_ESM_ProSST_Trained_Performance_200,Hybrid_DCA_Trained_Performance_1000,Hybrid_DCA_ESM_Trained_Performance_1000,Hybrid_DCA_ProSST_Trained_Performance_1000,Hybrid_DCA_ESM_ProSST_Trained_Performance_1000,N_Y_test,N_Y_test_100,N_Y_test_200,N_Y_test_1000,Time_in_s
14,ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,1,0.4290041995010136,-0.04298687766129784,0.6029023718184582,0.5051129191579249,0.5266080711618444,0.6649210379780879,0.6495886738317739,0.6225285661724362,0.6878790232693585,0.7930830248103043,0.7409683109750682,0.7468874003947266,0.820527541564127,0.8764721051306419,0.8657475654426874,1287,1187,1087,287,879
15,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170,1,-0.09215236134822696,0.08751656377281526,0.2737196279944554,0.5741578119542549,0.611092642813402,0.7080220453153705,0.712116175312746,nan,nan,nan,nan,nan,nan,nan,nan,170,70,nan,nan,66
16,BLAT_ECOLX_Deng_2012,4996,1,0.48754690664936645,0.028786981536539434,0.4833693378116063,0.508249467116497,0.5064726326743983,0.5105869595142796,0.5114975966868827,0.544842070176501,0.5472178634607372,0.5853240619194237,0.5835282073278983,0.6563746917667691,0.6641316053586355,0.7224011951415938,0.7060010151080043,4996,4896,4796,3996,2367
17,BLAT_ECOLX_Firnberg_2014,4783,1,0.6818524611792655,0.09528141993475835,0.7525729165170857,0.6907592761223291,0.6911114551982422,0.7564785789485899,0.749853154553911,0.7011803084081188,0.719372217878722,0.8048928437673586,0.8100837150523418,0.7582303268032755,0.7860769095515662,0.8507011315028369,0.849064081150039,4783,4683,4583,3783,2293
18,BLAT_ECOLX_Jacquier_2013,989,1,0.6799982280150232,0.11127531467989776,0.6592557291306742,0.6766941603069719,0.6715482423718664,0.7236882702957717,0.725569526131565,0.6877840856136923,0.6994528293157827,0.7613798556068571,0.7594930600455922,nan,nan,nan,nan,989,889,789,nan,322
19,BLAT_ECOLX_Stiffler_2015,4996,1,0.6770558396461916,0.08522569318032878,0.7429703395553201,0.6857619468462923,0.6847968730668,0.786588098555125,0.7868797126675855,0.7077457592681332,0.7232573439216771,0.8020273756108454,0.8090791486482484,0.7747019440984741,0.7808548069544191,0.8612653245642379,0.8435751437827148,4996,4896,4796,3996,2201
20,BRCA1_HUMAN_Findlay_2018,1837,1,Sequence too long (1863 > 1000)
21,BRCA2_HUMAN_Erwood_2022_HEK293T,265,1,Sequence too long (3418 > 1000)
22,C6KNH7_9INFA_Lee_2018,10754,1,0.3796697837907328,0.004328233831206866,0.4330093822936914,0.4135834520942153,0.41364836810732947,0.5488911368683529,0.5454896704179203,0.4326064034676669,0.5011824661920835,0.5749048879268586,0.5985697159611354,0.5666204609453211,0.6158674292547089,0.6691870875888793,0.66750534140459,10754,10654,10554,9754,4289
23,CALM1_HUMAN_Weile_2017,1813,1,0.1880116162650222,0.04643200815833752,0.19559419962094052,0.1808258826984755,0.181362110576748,0.20303739632954346,0.19942867477056353,0.18328280019998686,0.178446812466999,0.17042616124379964,0.19130960385471357,0.1728769190554994,0.17298395384271614,0.21471334742891487,0.21124245679593542,1813,1713,1613,813,529
24,CAR11_HUMAN_Meitlis_2020_gof,2374,1,Sequence too long (1154 > 1000)
25,CAR11_HUMAN_Meitlis_2020_lof,2395,1,Sequence too long (1154 > 1000)
26,CAS9_STRP1_Spencer_2017_positive,8117,1,Sequence too long (1368 > 1000)
27,CASP3_HUMAN_Roychowdhury_2020,1567,1,0.6166355580179443,0.0794615690714578,0.516917386301835,0.613572254913267,0.5950234935771208,0.5723095388281269,0.584562897774632,0.6122567833893707,0.5905494277882933,0.6324798059147544,0.6163862077969358,0.6108056046770661,0.6194489275661823,0.6634956973880977,0.6527339011164224,1567,1467,1367,567,545
28,CASP7_HUMAN_Roychowdhury_2020,1680,1,0.6400542956395568,0.11891184465009072,0.5037607166304774,0.6377026999733968,0.6234294612136537,0.6382600961716396,0.6245981187251485,0.635193785954852,0.6355635909503493,0.6561098957128174,0.6575980584951553,0.6634041988405585,0.671480093013635,0.6964265010241346,0.6916248801169044,1680,1580,1480,680,588
29,CBS_HUMAN_Sun_2020,7217,1,0.3457136195847634,0.042674101352921996,0.2899147102950301,0.34435463089302226,0.3834117222110826,0.3650469530054851,0.37891437758202273,0.3434265440994835,0.39484419696401585,0.35661109524341433,0.3836962745363022,0.35595363858910956,0.404008190668578,0.4248615554825138,0.42226090471029376,7217,7117,7017,6217,2819
